a_hat,b_hat,sigma1_hat,nll,success,case,df
1.0025906936051632,0.697611667943926,0.6113140043574337,169.3546100274835,True,"a=1, b=0.9, s1=1",
1.00586930984266,0.6394757856224528,1.0577545376550448,190.65337960127124,True,"a=1, b=0.9, s1=1",
1.0002108427666714,0.8915616732613039,1.0356133307429793,192.4943349499177,True,"a=1, b=0.9, s1=1",
0.9992435000478107,0.944252917219873,1.151492841442936,196.24963870610244,True,"a=1, b=0.9, s1=1",
1.003595095960598,0.835770134080558,0.8658575586144928,186.56074912581087,True,"a=1, b=0.9, s1=1",
0.9936445480582515,1.1441357362775066,0.787234401312751,181.86613779104567,True,"a=1, b=0.9, s1=1",
0.9970489446917554,1.0570051101884927,0.8741402002025961,187.71589950819435,True,"a=1, b=0.9, s1=1",
1.0030026884916339,0.6577317371869442,0.8260582023403554,178.06004510694228,True,"a=1, b=0.9, s1=1",
1.0005879963174038,0.9452260062907217,0.8127162966902541,181.11023054430206,True,"a=1, b=0.9, s1=1",
1.0007592701625792,0.8567245101294039,0.9143445667660061,187.6313069604295,True,"a=1, b=0.9, s1=1",
0.9934944190586438,1.1957170757213855,0.9403581804438447,188.675824807655,True,"a=1, b=0.9, s1=1",
0.9993024759347017,0.9713647059185526,0.9256884035990157,183.21554210261797,True,"a=1, b=0.9, s1=1",
0.9956700157117839,1.3502503348241903,1.0505751489179536,191.53756112045173,True,"a=1, b=0.9, s1=1",
0.9986190566869904,1.0326152051490431,0.711997285077728,172.3928980909839,True,"a=1, b=0.9, s1=1",
0.9999560048198148,1.053952892424989,0.8967611093293608,181.89640703497915,True,"a=1, b=0.9, s1=1",
1.0038528319371622,0.8205583410756561,0.9634687094766622,191.91978286782475,True,"a=1, b=0.9, s1=1",
1.0006105069558537,0.8323130396155566,1.0682061467447177,192.1632394317869,True,"a=1, b=0.9, s1=1",
1.0018506851159281,0.933798527862523,0.898605252107621,182.9703689279312,True,"a=1, b=0.9, s1=1",
0.9952954727114793,1.2648269711313243,0.8472934457531929,188.59723866393838,True,"a=1, b=0.9, s1=1",
0.9983386133748761,1.224946575733591,0.9822008584936145,192.23938058109547,True,"a=1, b=0.9, s1=1",
0.9977230793429354,0.9892951720447176,1.021990896483217,187.49912237741833,True,"a=1, b=0.9, s1=1",
0.9954878675300985,1.0657972873805432,0.8605541167830606,184.64061559682153,True,"a=1, b=0.9, s1=1",
0.9995557437158731,0.9942812017683826,1.018000294471362,195.17848514166752,True,"a=1, b=0.9, s1=1",
1.0034757841329278,0.7305023018713117,1.043316117438112,194.2198308801756,True,"a=1, b=0.9, s1=1",
1.003324767446789,0.8795078132503643,0.6343374436328241,178.2236645138351,True,"a=1, b=0.9, s1=1",
0.9948581934006162,1.2106395047674885,0.8901990295807451,185.3287383678929,True,"a=1, b=0.9, s1=1",
1.000651347128768,0.886650879371897,0.870935757399209,188.7680188587685,True,"a=1, b=0.9, s1=1",
0.9936917029087723,1.4362148270154147,1.3394761999812559,206.32219936399238,True,"a=1, b=0.9, s1=1",
